id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
13034,Passo Fundo,,1695384781,1695388785,39,39,0,0,0,0,2,823.5000,823.5000,NULL,0,1,62.0000,NULL,NULL,1,1,1,4,38,58,50,4,1,1.000000000,NULL,NULL,2,61,1.0000000000000,0,NULL,NULL
13068,,,1695070529,1697675418,43,13,0,0,0,0,2,41117.5000,41117.5000,NULL,30,7,6.5806,NULL,NULL,7,3,2,13,51,55,39,12,1,0.853318087,0.4783,0.1739,11,52,0.8466507272727,0,NULL,NULL
13069,,,1695073195,1696853628,43,22,0,0,0,0,2,978.5000,978.5000,NULL,21,4,3.4545,NULL,NULL,4,1,1,3,48,58,41,15,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
13070,,,1695074069,1695074451,43,43,0,0,0,0,0,NULL,NULL,NULL,0,1,10.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13073,,,1695084048,1695943204,43,33,0,0,0,0,2,307.5000,307.5000,NULL,10,4,7.4545,NULL,NULL,4,0,1,0,29,60,34,22,1,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
13085,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13086,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13087,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13088,Passo Fundo,,1696026184,1696026404,32,32,0,0,0,0,0,NULL,NULL,NULL,0,1,5.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13089,Passo Fundo,,1695145882,1695687881,42,36,0,0,0,0,0,NULL,NULL,NULL,6,2,0.5714,NULL,NULL,2,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13090,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13091,Passo Fundo,,1695216943,1698687776,41,1,0,0,0,0,2,883.0000,883.0000,NULL,40,6,2.1463,NULL,NULL,6,0,2,0,41,60,49,7,1,0.942857143,0.3000,0.3000,3,60,0.9333333333333,0,NULL,NULL
