id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
12182,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12183,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12184,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12185,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12186,Passo Fundo,,1692907332,1692907332,18,18,0,0,0,0,0,NULL,NULL,NULL,0,1,9.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12187,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12188,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12189,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12190,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12191,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12192,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12193,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12194,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12195,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
